场景,检测点编号,x,y,示向度,顶点,直径,最小包围圆半径,直径圆覆盖,真值在多边形内
A,1,552.99,-459.22,169.03,,,,,
A,2,139.51,710.76,248.51,,,,,
A,区域,,,,"-235.30,-292.05;-272.47,-284.17;-284.02,-312.04;-245.31,-318.85",52.66,26.33,是,是
B,1,-1124.97,642.84,2.9,,,,,
B,2,210.7,-314.54,112.55,,,,,
B,3,253.38,1424.44,236.66,,,,,
B,区域,,,,"-201.69,705.76;-233.14,703.62;-220.87,675.48",35.85,19.03,否,是
C,1,127.83,904.89,221.96,,,,,
C,2,-1313.21,745.25,327.46,,,,,
C,3,-1051.75,-355.68,54.1,,,,,
C,4,-54.7,-213.14,137.47,,,,,
C,区域,,,,"-582.56,288.30;-600.48,272.74;-586.81,263.68;-574.25,280.41",27.33,13.67,是,是
